bkrepo	3.3.1-beta.1	3.3.1-beta.1
bkauth	1.0.2	1.0.2
bk-user	1.4.14-beta.35	2.5.4-beta.35
bkiam	0.2.21	1.12.21
bkiam-saas	0.2.61	1.10.61
bkiam-search-engine	0.1.4	1.1.4
bkssm	1.0.9	1.0.12
bk-apigateway	1.13.28	1.13.28
bk-console	0.1.5-beta.8	0.1.5-beta.8
bk-gse-ce	2.1.6-beta.65	2.1.6-beta.65
bk-cmdb	3.15.8-beta1	3.14.8-beta1
bk-job	0.7.4-beta.4	3.10.4-beta.4
bkpaas3	1.6.0-beta.32	1.6.0-beta.32
bkpaas-app-operator	1.6.0-beta.32	1.6.0-beta.32
bk-nodeman	2.4.12-rc.2134	2.4.12-rc.2134
bkapp-log-collection	1.1.16	1.1.16
bk-ingress-nginx	1.3.5	1.3.1-patch.1
bk-monitor	3.9.0-beta.32	3.9.0-beta.25
bkmonitor-operator-stack	3.6.158	3.62.3267
bk-log-search	4.7.5-rc.1	4.7.5-rc.1
bk-log-collector	0.4.4	7.7.2-rc.107
bcs-services-stack	1.29.13	1.29.13
bk-ci	3.0.15-beta.13	3.0.15-beta.13
bk-codecc	3.1.3-beta.2	2.1.3-beta.2
bk-apicheck	2.1.6	2.1.6
bk-bscp-stack	1.30.0-beta.12	2.4.25-ce
bkhelmfile	7.2.15	--
helm_cmd	3.12.3	--
jq_cmd	1.6	--
yq_cmd	4.30.6	--
helmfile_cmd	0.142.0	--
helm_diff	3.1.3	--
bk_cmdb_saas	3.14.8-beta1	--
bk_itsm	2.8.0-rc.716	--
bk_sops	3.34.12.2188	--
bk_notice	1.5.12-beta.1	--
bk_flow_engine	1.9.7	--
bk-config-combo	20241009	--
gse_agent	2.1.6-beta.65	--
gse_proxy	2.1.6-beta.65	--
gse_py36-x86_64	3.6.13	--
gse_nginx-x86_64	1.29.1	--
gse_plugins_freq	20250704	--
gse_plugins_extra	20250704	--
bkmonitorbeat	3.62.3267	--
bkunifylogbeat	7.7.2-rc.107	--
bk-collector	0.77.2871	--
bcs-ops	0.0.5	--
uploadArtifact	2.0.4	--
uploadReport	1.0.5	--
downloadArtifact	1.0.5	--
checkout	2.0.16	--
run	1.0.14	--
sendEmail	1.2.5	--
SubPipelineExec	1.0.12	--
AcrossProjectDistribution	1.1.4	--
PerforceSync	1.0.23	--
CodeCCCheckAtom	0.1.4	--
chart-images	7.2.15	--
