bcs-services-stack	03-bcs.yaml.gotmpl	blueking	bcs-services-stack
bk-ci	03-bkci.yaml.gotmpl	blueking	bk-ci
bk-codecc	03-bkcodecc.yaml.gotmpl	blueking	bk-codecc
bktbs	03-bktbs.yaml.gotmpl	blueking	bk-tbs
bk-log-collector	04-bklog-collector.yaml.gotmpl	blueking	bklog-collector
bk-log-search	04-bklog-search.yaml.gotmpl	blueking	bk-log-search
bkmonitor-operator-stack	04-bkmonitor-operator.yaml.gotmpl	bkmonitor-operator	bkmonitor-operator
bk-monitor	04-bkmonitor.yaml.gotmpl	blueking	bk-monitor
bk-apicheck	05-bkapicheck.yaml.gotmpl	blueking	bk-apicheck
bk-dbm	05-bkdbm.yaml.gotmpl	blueking	bk-dbm
bk-audit	06-bkaudit.yaml.gotmpl	blueking	bk-audit
bk-bscp-stack	06-bkbscp.yaml.gotmpl	blueking	bk-bscp
bkrepo	base-blueking.yaml.gotmpl	blueking	bk-repo
bkauth	base-blueking.yaml.gotmpl	blueking	bk-auth
bk-apigateway	base-blueking.yaml.gotmpl	blueking	bk-apigateway
bkiam	base-blueking.yaml.gotmpl	blueking	bk-iam
bkssm	base-blueking.yaml.gotmpl	blueking	bk-ssm
bk-console	base-blueking.yaml.gotmpl	blueking	bk-console
bk-user	base-blueking.yaml.gotmpl	blueking	bk-user
bkiam-saas	base-blueking.yaml.gotmpl	blueking	bk-iam-saas
bkiam-search-engine	base-blueking.yaml.gotmpl	blueking	bk-iam-search-engine
bk-gse-ce	base-blueking.yaml.gotmpl	blueking	bk-gse
bk-cmdb	base-blueking.yaml.gotmpl	blueking	bk-cmdb
bkpaas-app-operator	base-blueking.yaml.gotmpl	blueking	bkpaas-app-operator
bkpaas3	base-blueking.yaml.gotmpl	blueking	bk-paas
bkapp-log-collection	base-blueking.yaml.gotmpl	blueking	bk-applog
bk-ingress-nginx	base-blueking.yaml.gotmpl	blueking	bk-ingress-nginx
bk-ingress-rule	base-blueking.yaml.gotmpl	blueking	bk-ingress-rule
bk-job	base-blueking.yaml.gotmpl	blueking	bk-job
bk-nodeman	base-blueking.yaml.gotmpl	blueking	bk-nodeman
