bcs-services-stack	1.29.4	1.29.4
bk-apicheck	2.1.2	2.1.2
bk-apigateway	1.13.21	1.13.21
bk-bscp-stack	1.30.0-beta.6	1.30.0-beta.6
bk-ci	3.0.13	3.0.13
bk-cmdb	3.15.1-beta1	3.14.1-beta1
bk-codecc	3.1.2-beta.1	2.1.2-beta.1
bk-console	0.1.4-beta.5	0.1.4-beta.5
bk-gse-ce	2.1.6-beta.31	2.1.6-beta.31
bk-ingress-nginx	1.3.5	1.3.1-patch.1
bk-job	0.6.6-beta.8	3.9.6-beta.8
bk-log-collector	0.4.4	7.7.2-rc.107
bk-log-search	4.7.4-beta.7	4.7.4-beta.7
bk-monitor	3.9.0-beta.19	3.9.0-beta.10
bk-nodeman	2.4.10	2.4.10
bk-user	1.4.14-beta.25	2.5.4-beta.25
bkapp-log-collection	1.1.16	1.1.16
bkauth	1.0.2	1.0.2
bkiam	0.2.15	1.12.15
bkiam-saas	0.2.39-beta.1	1.10.36-beta.1
bkiam-search-engine	0.1.4	1.1.4
bkmonitor-operator-stack	3.6.158	3.62.3267
bkpaas-app-operator	1.5.0-beta.14	1.5.0-beta.14
bkpaas3	1.5.0-beta.14	1.5.0-beta.14
bkrepo	1.5.2-rc.1	1.5.2-rc.1
bkssm	1.0.9	1.0.12
bkhelmfile	7.2.3	--
helm_cmd	3.12.3	--
jq_cmd	1.6	--
yq_cmd	4.30.6	--
helmfile_cmd	0.142.0	--
helm_diff	3.1.3	--
bk_cmdb_saas	3.14.1-beta1	--
bk_itsm	2.7.6	--
bk_sops	3.33.12	--
bk_notice	1.5.11	--
bk_flow_engine	1.9.0	--
bk-config-combo	20241009	--
gse_agent	2.1.6-beta.31	--
gse_proxy	2.1.6-beta.31	--
gse_plugins_freq	20250704	--
gse_plugins_extra	20250704	--
bkmonitorbeat	3.62.3267	--
bkunifylogbeat	7.7.2-rc.107	--
bk-collector	0.77.2871	--
bcs-ops	0.0.5	--
uploadArtifact	2.0.4	--
uploadReport	1.0.4	--
downloadArtifact	1.0.5	--
checkout	2.0.16	--
run	1.0.14	--
sendEmail	1.2.5	--
SubPipelineExec	1.0.12	--
AcrossProjectDistribution	1.1.4	--
PerforceSync	1.0.23	--
CodeCCCheckAtom	0.1.4	--
chart-images	7.2.3	--
