子模块,备注,5.0版本号,4.1版本号,4.0版本号,3.1版本号
src,程序包,5.0.3,4.1.16,4.0.15,3.1.7
common,公共组件包,1.0.0,无,无,无
gse,管控平台,3.3.6,3.2.12,3.1.10,3.2.9
cmdb,配置平台,3.2.2,0.0.42,0.0.34,3.1.8
job,作业平台,5.0.2,4.3.3,4.2.3,3.1.21
open_paas,PaaS平台,3.0.94,3.0.83,3.0.31,3.0.67
paas_agent,PaaS平台,3.0.8,3.0.8,3.0.8,3.0.8
license,证书服务,3.1.4,3.1.4,3.1.4,3.1.4
bkdata/dataapi,数据基础模块API服务,1.3.16,1.2.105,1.2.105,1.2.105
bkdata/databus,数据基础模块总线服务,1.2.30,1.2.23,1.2.23,1.2.23
bkdata/monitor,蓝鲸监控后台模块,0.2.7,0.2.6,0.0.19,0.1.15
fta,故障自愈后台模块,5.1.11,4.1.12,3.1.18,4.1.7
bknetwork,网络管理（可源科技提供）,3.6.1,3.6.1,3.6.1,无
cicdkit,CICDKit（嘉维科技合作开发）,1.0.0,1.0.0,无,无
